,Time,Name,Tweet_status,Text,Length,Location
55,2019-09-08 05:58:23,Shankar44811352,Retweet,"Saw The Video Of NDTVs Pallav Bagla Screaming At ISRO Scientists 

Yes Yes I Am Sure He Will Get A Ramon Magsasay Award Some Day For His Journalism

Thats Why Modi Supporters Hates NDTV Shame On NDTV  Chandrayaan2 ProudOfISRO ProudIndian httpstcoml9brENQ3u",275,NaN
56,2019-09-08 05:58:23,gusain_punit,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,Dehradun
57,2019-09-08 05:58:23,Ankush_dheer,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,Ghaziabad
58,2019-09-08 05:58:23,Adityak00683839,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,NaN
59,2019-09-08 05:58:25,bapu_sonya,Tweet,"fawadchaudhry Paxitan only have twitter no bollywood no ISRO Nothing to celebrate in life Do you really living your life
PakistanNeverTried 
PKMBK",154,पुण्यनगरी
60,2019-09-08 05:58:26,iamsingh_1,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"KOLKATA,INDIA"
61,2019-09-08 05:58:26,SudhanshuRtu92,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,"Kot Putli, India"
62,2019-09-08 05:58:26,Bhushi79,Tweet,narendramodi ji आप Chandrayaan2 पर public donation online खोल दीजिएहिन्दुस्तानी ना सिर्फ Chandrayaan3 के लिए पूरे पैसे देंगे पर scientists की पगार के साथ Pakistan पर1012 nuclear दालने को भी finance कर देंगे 😂😂😂 Chandrayaan2 ISROweareproudofyou ISRO IsroPerGarvHai,275,"Mumbai, India"
63,2019-09-08 05:58:26,Prashan08946642,Retweet,My letter to VikramLander With a copy to Prime Minister narendramodi ji isro chief KSivan ji all the scientists of ISRO and all my fellow Indians all over the world Please retweet it so much that actually reaches him Jai Ho Jai Hind🙏🤓🇮🇳🇮🇳 Chandrayaan2 httpstcoybLm7Qw1iq,289,India
64,2019-09-08 05:58:26,VirusPoochi,Retweet,"Heres some exclusive behindthescenes footage of the missions various components coming together  httpstcobaOMowvWHa
Tell us what you think about it in the comments below  
Chandrayaan2 GSLVMkIII ISRO httpstcoKguy33p2C1",238,TN57
65,2019-09-08 05:58:26,__Speak___,Retweet,"Israel followed VikramLanders
ambitious journey to the moon with great hope

As we learned from Israels Beresheet lunar lander its never easy and yet its a great achievement for ISRO amp Indian science

Were positive that India will reach the moon amp beyond 🇮🇱🌕❤🇮🇳 httpstco5LRiTOTksF httpstcogzfalJhG8O",332,NaN
66,2019-09-08 05:58:27,dakhars,Retweet,"ऐ चाँद छू लेंगे तुझे भी जल्द ही अभी ज़रा कुछ दिलों को छू लें 
These pictures defines India defines humanity Proud of you narendramodi Sir and Mr K Sivan isro Chandrayaan2Landing ISRO httpstcojuxzKYIQMt",217,NaN
67,2019-09-08 05:58:27,santunaskar21,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"Kolkata, India"
68,2019-09-08 05:58:27,Jithi143,Retweet,My letter to VikramLander With a copy to Prime Minister narendramodi ji isro chief KSivan ji all the scientists of ISRO and all my fellow Indians all over the world Please retweet it so much that actually reaches him Jai Ho Jai Hind🙏🤓🇮🇳🇮🇳 Chandrayaan2 httpstcoybLm7Qw1iq,289,DUBAI
69,2019-09-08 05:58:28,whymeumesh,Retweet,Sometimes we don’t land or arrive at the destination we want to The important thing is we took off and had the Hope and Belief we can Our current situation is never and not our final destination That always comes in time and belief Proud of ISRO,250,Bangalore
70,2019-09-08 05:58:28,Dontdrop,Retweet,"As a science writer Ive not covered a govt more anti science than the current one Nothing the PM does incl an insincere photoop hug changes how badly his govt hurt scientific temperament in India Some eg 
ISRO",218,India
71,2019-09-08 05:58:28,deebee159,Retweet,"This is Mission Control Centre VikramLander descent was as planned and normal performance was observed up to an altitude of 21 km Subsequently communication from Lander to the ground stations was lost Data is being analyzed
ISRO",236,NaN
72,2019-09-08 05:58:30,Dhanesh2017,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"Trivandrum, India"
73,2019-09-08 05:58:30,shreyasmahajan1,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,"Pune, Maharashtra,India"
74,2019-09-08 05:58:30,dharanibhoi,Retweet,Sometimes we don’t land or arrive at the destination we want to The important thing is we took off and had the Hope and Belief we can Our current situation is never and not our final destination That always comes in time and belief Proud of ISRO,250,NaN
75,2019-09-08 05:58:31,adinersss,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,Thrissur
76,2019-09-08 05:58:31,Sanjay_Bati,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,palitana(bhavnagar)guj. india
77,2019-09-08 05:58:31,Shjoin2,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,"Stamford, CT"
78,2019-09-08 05:58:31,Jagan_Prasad,Retweet,The communication isn’t lost Every single person in India can feel the heartbeat of chandrayaan2 We can hear it whisper to us that  ‘If at first you don’t succeed try try again’ httpstcoYS3y1kQXI2,206,"Bengaluru, India"
79,2019-09-08 05:58:32,rka_pro,Retweet,"A humble farmers son to Isros Rocket Man Incredible journey of K Sivan 

Sivan is the first graduate in his family His brother and two sisters were unable to complete higher education due to their poverty

httpstco7sbs37LaFW

ISRO Chandrayaan2",257,NaN
80,2019-09-08 05:58:33,iamAnurag999,Retweet,My letter to VikramLander With a copy to Prime Minister narendramodi ji isro chief KSivan ji all the scientists of ISRO and all my fellow Indians all over the world Please retweet it so much that actually reaches him Jai Ho Jai Hind🙏🤓🇮🇳🇮🇳 Chandrayaan2 httpstcoybLm7Qw1iq,289,"Mumbai, India"
81,2019-09-08 05:58:33,I_am_varun,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"Heart in Hyd , Soul in Asr !  "
82,2019-09-08 05:58:33,krunal_wrote,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,"Mumbai, India"
83,2019-09-08 05:58:33,Yaseen786md,Retweet,"Look closely 👉 
प्रधानमंत्री जी Isro Chief को ज़बरदस्ती पकड़ कर गले लगा रहे हैं amp amp he even shifted him to another side to keep the focus on his face 🤣😂 httpstco9qlSl5iwHM",185,NaN
84,2019-09-08 05:58:33,Visvesh_30,Retweet,"Upcoming ISRO Missions 

gt ASTROSAT
gt Aditya L1 mission 
gt Gaganyaan mission
gt Mangalyaan2
gt Chandrayaan3 

Those who try never give up
jayHind 🇮🇳",167,"Lonavala, India"
85,2019-09-08 05:58:34,Abhishek_UP_,Retweet,"This is Mission Control Centre VikramLander descent was as planned and normal performance was observed up to an altitude of 21 km Subsequently communication from Lander to the ground stations was lost Data is being analyzed
ISRO",236,"Pune, India"
86,2019-09-08 05:58:34,psiubu,Retweet,"As a science writer Ive not covered a govt more anti science than the current one Nothing the PM does incl an insincere photoop hug changes how badly his govt hurt scientific temperament in India Some eg 
ISRO",218,Kayalpattnam 
87,2019-09-08 05:58:34,sumanta7797,Retweet,The communication isn’t lost Every single person in India can feel the heartbeat of chandrayaan2 We can hear it whisper to us that  ‘If at first you don’t succeed try try again’ httpstcoYS3y1kQXI2,206,"Gobardanga, India"
88,2019-09-08 05:58:35,twiish_,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,Gujarat
89,2019-09-08 05:58:35,lovelyTarun143,Retweet,Space is hard We commend ISRO’s attempt to land their Chandrayaan2 mission on the Moon’s South Pole You have inspired us with your journey and look forward to future opportunities to explore our solar system together httpstcopKzzo9FDLL,245,Some where on Earth
